Type,Date,Number of Records,Sum Produce
Exsiting,01-03-2012,1,25151525.84
Exsiting,01-04-2012,1,24406048.39
Exsiting,01-05-2012,1,28249539.01
Exsiting,01-06-2012,1,28691364.32
Exsiting,01-07-2012,1,28535707.45
Exsiting,01-08-2012,1,25793520.64
Exsiting,01-09-2012,1,21915641.66
Exsiting,01-10-2012,1,21203562.52
Exsiting,01-11-2012,1,21736158.96
Exsiting,01-12-2012,1,21962976.75
Exsiting,01-01-2013,1,20322683.64
Exsiting,01-02-2013,1,19829620.75
Exsiting,01-03-2013,1,22717069.85
Exsiting,01-04-2013,1,21625385.04
Exsiting,01-05-2013,1,23000152.4
Exsiting,01-06-2013,1,24755406.2
Exsiting,01-07-2013,1,26803105.56
Exsiting,01-08-2013,1,22600217.01
Exsiting,01-09-2013,1,21401265.74
Exsiting,01-10-2013,1,19296578.09
Exsiting,01-11-2013,1,20489773.49
Exsiting,01-12-2013,1,21715706.67
Exsiting,01-01-2014,1,22544458.38
Exsiting,01-02-2014,1,21262413.12
Exsiting,01-03-2014,1,23247168.62
Exsiting,01-04-2014,1,22541987.92
Exsiting,01-05-2014,1,25943046.75
Exsiting,01-06-2014,1,24782178.43
Exsiting,01-07-2014,1,24263117.59
Exsiting,01-08-2014,1,21879988.86
Exsiting,01-09-2014,1,18407263.58
Exsiting,01-10-2014,1,19497571.95
Exsiting,01-11-2014,1,19444753.17
Exsiting,01-12-2014,1,19240384.75
Exsiting,01-01-2015,1,20088529.29
Exsiting,01-02-2015,1,19772333.34
Exsiting,01-03-2015,1,24608406.71
Exsiting,01-04-2015,1,21559729.45
Exsiting,01-05-2015,1,25792074.59
Exsiting,01-06-2015,1,27212464.15
Exsiting,01-07-2015,1,26338477.15
Exsiting,01-08-2015,1,23130626.6
Exsiting,01-09-2015,1,20774415.93
Exsiting,01-10-2015,1,20359980.58
Exsiting,01-11-2015,1,21936906.81
Exsiting,01-12-2015,1,20462899.3
Forecast Exsiting,01-01-2016,1,21829060.03
Forecast Exsiting,01-02-2016,1,21146329.63
Forecast Exsiting,01-03-2016,1,23735686.94
Forecast Exsiting,01-04-2016,1,22409515.28
Forecast Exsiting,01-05-2016,1,25621828.73
Forecast Exsiting,01-06-2016,1,26307858.04
Forecast Exsiting,01-07-2016,1,26705092.56
Forecast Exsiting,01-08-2016,1,23440761.33
Forecast Exsiting,01-09-2016,1,20640047.32
Forecast Exsiting,01-10-2016,1,20086270.46
Forecast Exsiting,01-11-2016,1,20858119.96
Forecast Exsiting,01-12-2016,1,21255190.24
Forecast New,01-01-2016,1,2491319.093
Forecast New,01-02-2016,1,2408384.784
Forecast New,01-03-2016,1,2833157.321
Forecast New,01-04-2016,1,2679433.372
Forecast New,01-05-2016,1,3054885.876
Forecast New,01-06-2016,1,3106151.779
Forecast New,01-07-2016,1,3132699.145
Forecast New,01-08-2016,1,2776154.195
Forecast New,01-09-2016,1,2451565.941
Forecast New,01-10-2016,1,2401771.575
Forecast New,01-11-2016,1,2477301.916
Forecast New,01-12-2016,1,2452170.069
