Year,Month,Forecast_sales_existing_stores,"Forecast_Sales_new_Stores ",Total_Forecast_sales,Date
2016,1,21829060.031666,2491319.093207,24320379.124873,2016-1
2016,2,21146329.6319817,2408384.783604,23554714.4155857,2016-2
2016,3,23735686.9387899,2833157.321387,26568844.2601769,2016-3
2016,4,22409515.2844737,2679433.371626,25088948.6560997,2016-4
2016,5,25621828.7250966,3054885.876482,28676714.6015786,2016-5
2016,6,26307858.0400465,3106151.779247,29414009.8192935,2016-6
2016,7,26705092.5563487,3132699.144598,29837791.7009467,2016-7
2016,8,23440761.3295266,2776154.195458,26216915.5249846,2016-8
2016,9,20640047.3199708,2451565.941438,23091613.2614088,2016-9
2016,10,20086270.4620746,2401771.574835,22488042.0369096,2016-10
2016,11,20858119.95754,2477301.916348,23335421.873888,2016-11
2016,12,21255190.2449756,2452170.069396,23707360.3143716,2016-12
